Company Name, ,Class 10 Percentage,Class 12 Percentage,Graduation Percentage,Degree,Additional Qualifications,Extra Courses,Specialisation,Languages Known,Skills,Past Experience (months),Preferred Work Location,Achievements,Projects,Competitions,Publications,Patents,Internship Stipend (?/month),Internship Duration (months),Department,Internship Type,Contact Email,Contact Phone,Application Deadline
SERUM INSTITUTE LIFE SCIENCES PRIVATE LIMITED,"Noida, Uttar Pradesh",70,60,69.86,BBA,Financial Modeling Certificate,None,Computer Science,Telugu; Punjabi; Malayalam,Python; Power BI; Customer Service; C++,0,"Noida, Uttar Pradesh",Internship at local startup,Sales forecasting model; E-commerce recommendation engine,Coding Contest Top 10,Magazine article on Finance,Patent on Process Optimization,19020,8,Marketing,Remote,irajan@mani-sunder.org,3240208459,2026-02-13
ARCELORMITTAL NIPPON STEEL INDIA LIMITED,"Chennai, Tamil Nadu",69,55.11,65.09,B.Com,Financial Modeling Certificate,None,Biotechnology,Kannada; Oriya; Bengali,JavaScript; HTML/CSS; Power BI; Python; Customer Service,24,"Bengaluru, Karnataka",Internship at local startup,Automated invoice processing; E-commerce recommendation engine,Business Plan Runner-up,Whitepaper on Supply Chain,Patent pending on Algorithm,7640,8,R&D,Hybrid,ranbir27@vasa-grover.info,1390790172,2026-01-01
CIPLA LIMITED,"Mumbai, Maharashtra",84,76.92,55.35,Diploma,Lean Six Sigma Yellow Belt,Advanced Excel; Google: Digital Marketing,Biotechnology,Malayalam; Punjabi; Gujarati,Sales; Power BI; C++; R; MS Excel,0,"Ahmedabad, Gujarat",Won college hackathon,IoT based monitoring system,Business Plan Runner-up,No publications,Patent on Process Optimization,30794,2,HR,Onsite,dhanukdora@sant.info,8400763276,2026-01-22
UPL LIMITED,"Bengaluru, Karnataka",1,64.04,83.26,B.Tech,Oracle Certified,,Data Science,Telugu; Punjabi,Python; JavaScript,24,"Ahmedabad, Gujarat",Published a project report,Energy consumption optimization project,Coding Contest Top 10,No publications,No patents,33465,1,Marketing,Onsite,yuvaanbahl@chhabra.com,230720437,2025-12-27
SJVN LIMITED,"Gurugram, Haryana",71,60.47,70.9,BBA,Cisco CCNA,,Electrical,Malayalam; Oriya; Punjabi,Java; Machine Learning,0,"Mumbai, Maharashtra",Published a project report,Automated invoice processing; IoT based monitoring system,Coding Contest Top 10,Magazine article on Finance,Patent pending on Algorithm,29251,5,Marketing,Onsite,mraja@kar.com,6939380323,2025-10-13
NUMALIGARH REFINERY LTD,"Mumbai, Maharashtra",98,84.83,86.03,Diploma,Oracle Certified,Google: Digital Marketing; NPTEL: Machine Learning,Mechanical,English; Kannada,Python; C++; Marketing; MS Excel,24,"Noida, Uttar Pradesh",Published a project report,Automated invoice processing; Chatbot for FAQs,Business Plan Runner-up,Journal article on Renewable Energy,Patent pending on Algorithm,26840,1,Operations,Hybrid,dharojas@kaul.com,4466325980,2026-02-15
ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,"Mumbai, Maharashtra",89,96.14,61.46,BBA,Lean Six Sigma Yellow Belt,AWS Fundamentals,Marketing,Bengali,Java; Communication; Power BI,0,"New Delhi, Delhi",Developed a forecasting model,Customer segmentation analysis; NLP sentiment analysis on reviews,Design Challenge Participant,Whitepaper on Supply Chain,Patent on Sensor Design,34173,3,Operations,Remote,vchauhan@dani-bains.net,5280637140,2025-12-09
ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,"Thiruvananthapuram, Kerala",75,86,66.87,Diploma,Financial Modeling Certificate,,Data Science,Telugu,Data Analysis; Sales; SQL; Python; R,0,"Visakhapatnam, Andhra Pradesh",Developed a forecasting model,Automated invoice processing; Sales forecasting model,Hackathon Winner,Magazine article on Finance,Patent on Sensor Design,5438,7,Design,Onsite,sanghviuthkarsh@sood.org,1565895324,2026-01-25
NLC INDIA LIMITED,"Pune, Maharashtra",77,78.87,61.68,Bsc.,Lean Six Sigma Yellow Belt,Coursera: Data Science,Mechanical,Hindi; Punjabi; Malayalam,Customer Service; Data Analysis,0,"Pune, Maharashtra",Won college hackathon,Sales forecasting model; Energy consumption optimization project,Case Study Competition,Journal article on Renewable Energy,Patent pending on Algorithm,10016,5,Marketing,Onsite,madhup93@yadav.net,4864453472,2026-03-05
NATIONAL STOCK EXCHANGE OF INDIA LTD.,"New Delhi, Delhi",75,60.82,70.04,B.Com,None,None,Electronics,Oriya; Hindi,JavaScript; HTML/CSS; Data Analysis; MS Excel,0,"Jaipur, Rajasthan",Developed a forecasting model,Supply chain dashboard; Energy consumption optimization project,None,No publications,Patent on Sensor Design,10795,10,Design,Onsite,faiyazkrish@brahmbhatt-sharma.com,2992008948,2025-11-13
THE ASSOCIATED BUILDING COMPANY LIMITED,"Mumbai, Maharashtra",70,71.08,87.94,B.Com,Lean Six Sigma Yellow Belt,None,Computer Science,English,MS Excel; Communication,24,"Ahmedabad, Gujarat",Internship at local startup,Mobile app for local services,Case Study Competition,Magazine article on Finance,Patent pending on Algorithm,31289,8,Engineering,Onsite,nakulgupta@dyal.com,3438500102,2025-12-27
DIVI S LABORATORIES LIMITED,"Visakhapatnam, Andhra Pradesh",70,69.32,61.23,B.Sc.,Financial Modeling Certificate,AWS Fundamentals; IBM: Data Analyst,Biotechnology,Malayalam; English,SQL; Marketing; Data Analysis,6,"Ahmedabad, Gujarat",Won college hackathon,Chatbot for FAQs; Supply chain dashboard,Business Plan Runner-up,Whitepaper on Supply Chain,No patents,24835,6,Design,Remote,achar@wadhwa-divan.net,54265468,2025-12-04
INDIAN RAILWAY FINANCE CORPORATION LIMITED,"Bengaluru, Karnataka",97,64.62,67.56,B.Com,Oracle Certified,SAP Basics,Biotechnology,Marathi,HTML/CSS; MS Excel; Communication; SQL; Java,24,"Chennai, Tamil Nadu",Published a project report,Supply chain dashboard,Math Olympiad State Level,Conference Paper on ML,Patent on Process Optimization,10032,3,Engineering,Remote,fatehrastogi@borah.com,99346484,2026-02-27
LTIMINDTREE LIMITED,"Noida, Uttar Pradesh",82,0.41,68.57,Diploma,Financial Modeling Certificate,Coursera: Data Science; AWS Fundamentals,Mechanical,Kannada; English; Tamil,Communication; MS Excel; Tableau; Machine Learning; Sales,0,"Lucknow, Uttar Pradesh",No notable achievements,IoT based monitoring system,None,Magazine article on Finance,Patent on Sensor Design,18019,1,Consulting,Hybrid,prisharamanathan@bhattacharyya-dayal.info,3645317413,2026-02-19
ZOHO CORPORATION PRIVATE LIMITED,"Chennai, Tamil Nadu",62,82.26,86.75,B.Tech,Cisco CCNA,,Marketing,Kannada; Tamil; English,HTML/CSS; Sales; Power BI; C++,6,"Bhopal, Madhya Pradesh",Internship at local startup,E-commerce recommendation engine,Business Plan Runner-up,Conference Paper on ML,Patent pending on Algorithm,13638,7,Data Analytics,Hybrid,qkhanna@chandran-verma.com,8431617087,2026-01-22
ACC LIMITED,"Ahmedabad, Gujarat",85,66.19,72.35,B.A.,Cisco CCNA,Google: Digital Marketing,Data Science,Malayalam; English; Telugu,Customer Service; JavaScript,6,"Pune, Maharashtra",Published a project report,IoT based monitoring system; Automated invoice processing,Case Study Competition,Conference Paper on ML,No patents,33293,9,Consulting,Remote,egola@sheth.info,8170676568,2026-03-11
SUN TV NETWORK LIMITED,"Bengaluru, Karnataka",64,56.88,89.65,B.Com,Oracle Certified,NPTEL: Machine Learning; Coursera: Data Science,Civil,Marathi; Kannada,Communication; Problem Solving; SQL,24,"Visakhapatnam, Andhra Pradesh",Won college hackathon,Customer segmentation analysis; IoT based monitoring system,Coding Contest Top 10,Whitepaper on Supply Chain,Patent pending on Algorithm,24611,10,HR,Onsite,aarav28@balan.com,4727518586,2026-01-05
CENTRAL COALFIELDS LIMITED,"Bengaluru, Karnataka",78,72.21,72.42,B.Com,Oracle Certified,AWS Fundamentals,Data Science,English; Malayalam,Customer Service; Power BI; Marketing,12,"Kolkata, West Bengal",Developed a forecasting model,Customer segmentation analysis; E-commerce recommendation engine,None,Journal article on Renewable Energy,Patent on Process Optimization,22883,10,Marketing,Onsite,gatikdave@dey-edwin.biz,95451209,2025-12-31
TITAN COMPANY LIMITED,"Pune, Maharashtra",63,79.69,68.34,Bsc.,None,,Chemical,Gujarati; Kannada; Oriya,R; SQL; Machine Learning,0,"Visakhapatnam, Andhra Pradesh",Won college hackathon,Chatbot for FAQs; Energy consumption optimization project,None,Magazine article on Finance,Patent on Sensor Design,23155,2,Design,Onsite,jivin57@dhawan-cherian.biz,89818398,2025-11-05
SIKKA PORTS & TERMINALS LIMITED,"Gurugram, Haryana",84,77.24,56.1,Bsc.,Oracle Certified,None,Biotechnology,Oriya; Marathi; Telugu,Python; C++; Problem Solving; R,0,"Jaipur, Rajasthan",Developed a forecasting model,NLP sentiment analysis on reviews,Hackathon Winner,Magazine article on Finance,Patent pending on Algorithm,27841,2,Engineering,Remote,kganguly@kothari-amble.com,6355252226,2025-12-11
DR.REDDY S LABORATORIES LTD,"Gurugram, Haryana",89,98.53,81.43,B.Com,Lean Six Sigma Yellow Belt,NPTEL: Machine Learning,Mechanical,Tamil; English,R; SQL; Data Analysis; Tableau,0,"Noida, Uttar Pradesh",Internship at local startup,NLP sentiment analysis on reviews,Hackathon Winner,No publications,No patents,14063,3,Design,Onsite,ksridhar@sankaran.org,766721867,2026-01-06
M.P. AGROTONICS LIMITED,"Thiruvananthapuram, Kerala",99,97.97,50.72,B.A.,Cisco CCNA,Udemy: Web Development,Civil,Telugu; English,SQL; Marketing; HTML/CSS; JavaScript; Python,6,"New Delhi, Delhi",Internship at local startup,Mobile app for local services,Math Olympiad State Level,Magazine article on Finance,Patent on Sensor Design,21781,12,Consulting,Remote,bhatnagarpriyansh@jhaveri.net,3342270833,2026-01-26
BRITANNIA INDUSTRIES LTD,"Kolkata, West Bengal",84,67.09,66.84,B.Com,Oracle Certified,NPTEL: Machine Learning,Data Science,Punjabi; Malayalam,Marketing; Communication,0,"Hyderabad, Telangana",Won college hackathon,Energy consumption optimization project,Case Study Competition,Journal article on Renewable Energy,Patent on Process Optimization,29829,5,HR,Remote,anvisur@kamdar-dugal.com,3773188346,2026-02-25
HINDALCO INDUSTRIES LIMITED,"Jaipur, Rajasthan",82,96.54,57.48,B.A.,Cisco CCNA,,Mechanical,Oriya; Marathi; Kannada,Python; Sales,12,"Ahmedabad, Gujarat",No notable achievements,Customer segmentation analysis; IoT based monitoring system,Math Olympiad State Level,Conference Paper on ML,Patent on Process Optimization,29241,5,HR,Remote,priyanshbedi@seshadri.com,2219321373,2026-02-12
JAMNAGAR UTILITIES & POWER PRIVATE LIMITED,"Lucknow, Uttar Pradesh",62,88.46,61.3,B.Com,Financial Modeling Certificate,Coursera: Data Science; SAP Basics,Data Science,Marathi; Punjabi; Hindi,Sales; Marketing,6,"Bengaluru, Karnataka",Developed a forecasting model,Supply chain dashboard; Customer segmentation analysis,Design Challenge Participant,Conference Paper on ML,Patent pending on Algorithm,9650,3,Consulting,Onsite,nishith54@choudhury.com,4654525276,2025-12-05
RECKITT BENCKISER (INDIA) PRIVATE LIMITED,"Jaipur, Rajasthan",88,94.03,51.05,B.A.,None,,Marketing,Tamil,Communication; C++; Marketing; Problem Solving,0,"Hyderabad, Telangana",No notable achievements,Automated invoice processing,Hackathon Winner,Conference Paper on ML,Patent pending on Algorithm,15929,6,Consulting,Onsite,tiya25@mani.net,2980045821,2026-01-22
BHARAT ALUMINIUM CO LTD,"Kolkata, West Bengal",79,90.88,60.82,B.A.,Certified Data Analyst,AWS Fundamentals,Electrical,Telugu,MS Excel; Data Analysis; Communication; Power BI; Machine Learning,24,"Bengaluru, Karnataka",Developed a forecasting model,NLP sentiment analysis on reviews,Business Plan Runner-up,No publications,Patent on Sensor Design,15421,8,Design,Hybrid,xsodhi@sarkar.net,8925112985,2025-11-06
HYUNDAI MOTOR INDIA LIMITED,"Bhopal, Madhya Pradesh",72,75.01,52.06,Diploma,Financial Modeling Certificate,Udemy: Web Development; Advanced Excel,Mechanical,Marathi,Marketing; Problem Solving; MS Excel,6,"Gurugram, Haryana",No notable achievements,Mobile app for local services,Coding Contest Top 10,Journal article on Renewable Energy,Patent on Sensor Design,12519,4,Data Analytics,Remote,psampath@dhar-sethi.info,9267258084,2025-12-29
CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,"Lucknow, Uttar Pradesh",69,88.62,58.73,B.Com,Oracle Certified,,Mechanical,Marathi,Communication; Sales; SQL; Java,0,"Lucknow, Uttar Pradesh",Won college hackathon,Sales forecasting model; Chatbot for FAQs,Business Plan Runner-up,Journal article on Renewable Energy,Patent pending on Algorithm,32740,1,HR,Onsite,zsen@gola-chaudhary.com,8324749012,2025-11-30
NATIONAL ALUMINIUM CO LTD,"Ahmedabad, Gujarat",79,77.55,80.99,B.E.,Lean Six Sigma Yellow Belt,None,Electrical,Oriya; Punjabi,Problem Solving; Sales,24,"Bengaluru, Karnataka",Published a project report,Sales forecasting model; Energy consumption optimization project,Business Plan Runner-up,Whitepaper on Supply Chain,Patent on Sensor Design,22961,4,Finance,Remote,goelkiaan@kota.info,5282152555,2025-12-05
BENGAL FINANCE AND INVESTMENT PRIVATE LIMITED,"Pune, Maharashtra",69,88.09,65.76,B.Sc.,Financial Modeling Certificate,None,Data Science,Gujarati; Kannada,Sales; HTML/CSS; MS Excel; Tableau,12,"Chennai, Tamil Nadu",No notable achievements,Sales forecasting model; E-commerce recommendation engine,Math Olympiad State Level,Magazine article on Finance,No patents,26058,11,R&D,Hybrid,zbiswas@zachariah.com,6620296566,2026-01-28
BHARAT ELECTRONICS LIMITED,"Gurugram, Haryana",87,75.75,50.86,B.A.,None,IBM: Data Analyst; Coursera: Data Science,Electrical,Punjabi; Malayalam,MS Excel; Communication; Machine Learning,0,"Ahmedabad, Gujarat",Developed a forecasting model,Customer segmentation analysis; IoT based monitoring system,Coding Contest Top 10,Whitepaper on Supply Chain,Patent on Sensor Design,29527,8,Consulting,Hybrid,arhaan12@samra.com,3734343868,2025-12-23
SUN PHARMA LABORATORIES LIMITED,"Pune, Maharashtra",96,73.05,71.6,B.Com,Cisco CCNA,,Electrical,Oriya,Marketing; Data Analysis; JavaScript; SQL; Java,0,"Bhopal, Madhya Pradesh",Internship at local startup,Supply chain dashboard; Customer segmentation analysis,Business Plan Runner-up,Journal article on Renewable Energy,Patent pending on Algorithm,8379,7,IT,Remote,sahilbora@sahni.info,2180952081,2025-10-14
THE SINGARENI COLLIERIES COMPANY LIMITED,"Bhopal, Madhya Pradesh",88,76.62,79.2,Bsc.,Oracle Certified,,Mechanical,Tamil; Kannada,C++; Marketing; SQL; Communication,0,"Gurugram, Haryana",No notable achievements,Customer segmentation analysis,Hackathon Winner,Conference Paper on ML,No patents,21085,12,Engineering,Onsite,talwarhridaan@lad-gokhale.com,71309052,2025-12-28
SBI CARDS AND PAYMENT SERVICES LIMITED,"Gurugram, Haryana",82,66.45,60.8,B.Tech,Certified Data Analyst,Coursera: Data Science,Chemical,Punjabi; Marathi; Oriya,MS Excel; HTML/CSS,24,"Hyderabad, Telangana",No notable achievements,Mobile app for local services,Business Plan Runner-up,Whitepaper on Supply Chain,Patent pending on Algorithm,32357,9,Finance,Hybrid,irahari@datta.com,1536403980,2026-01-02
ZYDUS LIFESCIENCES LIMITED,"Jaipur, Rajasthan",63,69.35,66.77,B.A.,Lean Six Sigma Yellow Belt,None,Biotechnology,Kannada; Hindi; English,C++; Python; Problem Solving; Machine Learning; JavaScript,0,"Noida, Uttar Pradesh",Developed a forecasting model,Automated invoice processing; IoT based monitoring system,Business Plan Runner-up,Conference Paper on ML,Patent on Process Optimization,32942,11,R&D,Hybrid,vardaniya55@garg.org,66244590,2025-11-21
THE FEDERAL BANK LTD,"Mumbai, Maharashtra",73,65.36,84.21,B.Sc.,None,,Marketing,Malayalam,Sales; Customer Service; Python,0,"Chennai, Tamil Nadu",Published a project report,E-commerce recommendation engine; NLP sentiment analysis on reviews,None,Journal article on Renewable Energy,Patent on Sensor Design,175,10,Design,Hybrid,bassinitya@walia.info,3411993158,2026-02-04
PIRAMAL CAPITAL & HOUSING FINANCE LIMITED,"Chennai, Tamil Nadu",66,68.9,65.76,B.Tech,Oracle Certified,NPTEL: Machine Learning,Mechanical,Marathi; Bengali; Gujarati,Machine Learning; Communication; Python,6,"Gurugram, Haryana",Developed a forecasting model,Chatbot for FAQs; Energy consumption optimization project,Math Olympiad State Level,Journal article on Renewable Energy,Patent on Process Optimization,27411,6,Design,Hybrid,swaminathanrania@wason-devi.com,7963795097,2026-01-03
WINSOL SOLAR FIELDS (POLEPALLY) PRIVATE LIMITED,"Bengaluru, Karnataka",87,73.12,74.57,B.Com,Oracle Certified,IBM: Data Analyst,Civil,Telugu; Gujarati; Oriya,C++; SQL; MS Excel,0,"Noida, Uttar Pradesh",Developed a forecasting model,Energy consumption optimization project,Design Challenge Participant,No publications,Patent pending on Algorithm,34773,12,Engineering,Hybrid,anay59@sani.org,8070650993,2025-10-19
ZEE ENTERTAINMENT ENTERPRISES LIMITED,"Jaipur, Rajasthan",70,67.24,79.58,B.Com,Certified Data Analyst,NPTEL: Machine Learning,Civil,Marathi; Gujarati,Power BI; JavaScript,0,"Gurugram, Haryana",Developed a forecasting model,Customer segmentation analysis; NLP sentiment analysis on reviews,Case Study Competition,Conference Paper on ML,Patent pending on Algorithm,9507,10,Data Analytics,Onsite,dashindranil@karpe.com,2305194542,2025-12-15
GLENMARK PHARMACEUTICALS LIMITED,"Chennai, Tamil Nadu",84,94.12,60.43,B.Com,None,Google: Digital Marketing; SAP Basics,Civil,Malayalam; Kannada; Marathi,HTML/CSS; Tableau; Marketing,0,"Bengaluru, Karnataka",Internship at local startup,Automated invoice processing; IoT based monitoring system,Hackathon Winner,Conference Paper on ML,Patent on Sensor Design,14100,8,Data Analytics,Remote,eacharya@doctor.com,2766900806,2026-02-21
MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED,"Chennai, Tamil Nadu",76,72.2,68.88,B.Tech,None,AWS Fundamentals,Electronics,Marathi; English,R; Machine Learning; MS Excel; Problem Solving; Marketing,0,"Noida, Uttar Pradesh",Published a project report,Mobile app for local services; Customer segmentation analysis,None,No publications,No patents,19700,11,Finance,Onsite,raunakbadal@sandhu.com,6999383565,2026-01-20
ODISHA MINING CORPORATION LIMITED,"Chennai, Tamil Nadu",90,64.55,84.25,BBA,Lean Six Sigma Yellow Belt,IBM: Data Analyst; NPTEL: Machine Learning,Chemical,Marathi; Oriya,SQL; Customer Service; Python; Data Analysis; Problem Solving,24,"Bhopal, Madhya Pradesh",Developed a forecasting model,IoT based monitoring system; NLP sentiment analysis on reviews,Hackathon Winner,Whitepaper on Supply Chain,Patent on Process Optimization,22639,4,Marketing,Hybrid,ishitavaidya@saini.com,5029999092,2025-12-10
ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,"Chennai, Tamil Nadu",84,61.04,87.61,B.Tech,Certified Data Analyst,NPTEL: Machine Learning,Mechanical,Punjabi; Malayalam; Bengali,Data Analysis; MS Excel; C++,0,"Lucknow, Uttar Pradesh",No notable achievements,Chatbot for FAQs; NLP sentiment analysis on reviews,Business Plan Runner-up,No publications,Patent pending on Algorithm,14055,8,Operations,Hybrid,rattidivit@bora.com,5462649567,2026-02-18
LUPIN LIMITED,"Jaipur, Rajasthan",68,71.86,52.89,Bsc.,Certified Data Analyst,,Mechanical,Bengali,Machine Learning; Java; Problem Solving; C++,0,"Thiruvananthapuram, Kerala",Developed a forecasting model,Mobile app for local services; Chatbot for FAQs,Design Challenge Participant,No publications,Patent pending on Algorithm,24854,1,Consulting,Hybrid,ivanagoda@shah-johal.biz,839415753,2025-11-11
